uuid,min_x,min_y,max_x,max_y,start_date,end_date,geometry
33235e1c-f598-4eea-bde2-8d278816be81,8.789062499999998,49.15296965617039,8.96484375,49.26780455063753,2022-05-01,2022-05-31,"POLYGON ((8.789062499999998 49.15296965617039, 8.789062499999998 49.26780455063753, 8.96484375 49.26780455063753, 8.96484375 49.15296965617039, 8.789062499999998 49.15296965617039))"
25b3a226-0fd2-47b2-8fc5-1178a99ca0a2,8.789062499999998,49.26780455063753,8.96484375,49.38237278700955,2022-05-01,2022-05-31,"POLYGON ((8.789062499999998 49.26780455063753, 8.789062499999998 49.38237278700955, 8.96484375 49.38237278700955, 8.96484375 49.26780455063753, 8.789062499999998 49.26780455063753))"
1ed73090-5108-4d2f-a9b2-752117d939d5,8.96484375,49.15296965617039,9.140625,49.26780455063753,2022-05-01,2022-05-31,"POLYGON ((8.96484375 49.15296965617039, 8.96484375 49.26780455063753, 9.140625 49.26780455063753, 9.140625 49.15296965617039, 8.96484375 49.15296965617039))"
72a4e2b8-b999-43da-af33-133a7c404174,8.96484375,49.26780455063753,9.140625,49.38237278700955,2022-05-01,2022-05-31,"POLYGON ((8.96484375 49.26780455063753, 8.96484375 49.38237278700955, 9.140625 49.38237278700955, 9.140625 49.26780455063753, 8.96484375 49.26780455063753))"
3da5fffa-be6e-4c0c-b5ca-f4352b4649fd,8.4375,49.38237278700955,8.61328125,49.49667452747043,2022-05-01,2022-05-31,"POLYGON ((8.4375 49.38237278700955, 8.4375 49.49667452747043, 8.61328125 49.49667452747043, 8.61328125 49.38237278700955, 8.4375 49.38237278700955))"
c24082f6-e80f-4fa3-b0fd-3b35fba0c856,8.4375,49.49667452747043,8.61328125,49.610709938074216,2022-05-01,2022-05-31,"POLYGON ((8.4375 49.49667452747043, 8.4375 49.610709938074216, 8.61328125 49.610709938074216, 8.61328125 49.49667452747043, 8.4375 49.49667452747043))"
17abbaa6-1cfc-45dd-b5ec-2b910cb24a01,8.61328125,49.38237278700955,8.789062499999998,49.49667452747043,2022-05-01,2022-05-31,"POLYGON ((8.61328125 49.38237278700955, 8.61328125 49.49667452747043, 8.789062499999998 49.49667452747043, 8.789062499999998 49.38237278700955, 8.61328125 49.38237278700955))"
ea4931c9-0d38-4790-a742-86ad216c8265,8.61328125,49.49667452747043,8.789062499999998,49.610709938074216,2022-05-01,2022-05-31,"POLYGON ((8.61328125 49.49667452747043, 8.61328125 49.610709938074216, 8.789062499999998 49.610709938074216, 8.789062499999998 49.49667452747043, 8.61328125 49.49667452747043))"
74cc74e6-3e75-44b9-9bc6-235b6f70d065,8.4375,49.610709938074216,8.61328125,49.72447918871299,2022-05-01,2022-05-31,"POLYGON ((8.4375 49.610709938074216, 8.4375 49.72447918871299, 8.61328125 49.72447918871299, 8.61328125 49.610709938074216, 8.4375 49.610709938074216))"
37209541-425a-4fc4-bdc6-cf55fc10cc55,8.61328125,49.610709938074216,8.789062499999998,49.72447918871299,2022-05-01,2022-05-31,"POLYGON ((8.61328125 49.610709938074216, 8.61328125 49.72447918871299, 8.789062499999998 49.72447918871299, 8.789062499999998 49.610709938074216, 8.61328125 49.610709938074216))"
4f020abf-39f0-4da7-8075-5466049f52be,8.789062499999998,49.38237278700955,8.96484375,49.49667452747043,2022-05-01,2022-05-31,"POLYGON ((8.789062499999998 49.38237278700955, 8.789062499999998 49.49667452747043, 8.96484375 49.49667452747043, 8.96484375 49.38237278700955, 8.789062499999998 49.38237278700955))"
066aa3f1-5685-4368-8699-a28c7a8344b1,8.789062499999998,49.49667452747043,8.96484375,49.610709938074216,2022-05-01,2022-05-31,"POLYGON ((8.789062499999998 49.49667452747043, 8.789062499999998 49.610709938074216, 8.96484375 49.610709938074216, 8.96484375 49.49667452747043, 8.789062499999998 49.49667452747043))"
66f1ecd8-0d38-4bc8-b1d5-46629f043f39,8.96484375,49.38237278700955,9.140625,49.49667452747043,2022-05-01,2022-05-31,"POLYGON ((8.96484375 49.38237278700955, 8.96484375 49.49667452747043, 9.140625 49.49667452747043, 9.140625 49.38237278700955, 8.96484375 49.38237278700955))"
e2f5f2ca-e40a-40c7-a8c7-6cd61d277f82,8.96484375,49.49667452747043,9.140625,49.610709938074216,2022-05-01,2022-05-31,"POLYGON ((8.96484375 49.49667452747043, 8.96484375 49.610709938074216, 9.140625 49.610709938074216, 9.140625 49.49667452747043, 8.96484375 49.49667452747043))"
